network,avg_distance,avg_speed
00000,6276.24816929404,7.499708674474154
00001,5579.235062638731,7.711355474316866
00002,5390.007608410838,8.159633184261487
00003,6864.092900956165,7.69327765702978
00004,5258.879809928828,6.8862589913022685
00005,5709.707654707447,7.33220968574058
00006,6192.127799897007,7.516116898440613
00007,5659.560224677833,7.704804048951491
00008,6802.25462129083,8.212747874324515
00009,5736.013538922291,7.8403901116078965
00010,4992.826870747739,8.279598270903227
00011,4723.075766098047,6.943974249212987
00012,6667.727507541452,7.632815682712902
00013,5439.5302681920275,7.675195658133515
00014,6016.660285482118,7.735182461177374
00015,5854.806063765457,7.821794731728658
00016,5006.312685208433,7.815909383936984
00017,5404.213100218654,7.596318448638268
00018,6130.161652852224,8.00797080787167
00019,4006.7599017805196,7.957926292568316
00020,5435.083770550695,7.423720423299399
00021,4268.266864162188,8.299637933375218
00022,4756.845131783343,7.910507415199121
00023,4609.301964642846,7.6786433876416345
00024,4910.163238681246,7.761440084573923
00025,4504.229297277313,7.85169478436932
00026,4979.268835137532,7.6547423889878905
00027,4599.394315674492,7.240919989211692
00028,4906.611605511621,7.957011019959256
00029,4849.253900949808,8.069029557863423
00030,4774.15351137762,7.3293692171665965
00031,5062.110694147516,8.187394682052826
00032,4951.428125710676,7.894133686739947
00033,5018.054546793088,7.866511444508031
00034,4930.520151249255,7.835496154376963
00035,5026.468070108065,7.891872727826626
00036,4053.3269624440104,7.7336333294779385
00037,3946.1390318878966,8.16410722132823
00038,4462.997574957656,7.967848350246714
00039,5111.982968063584,8.15066454261965
00040,4246.941673563093,7.888174699939018
00041,4129.2939716943165,8.003865438809099
00042,5309.320119427686,7.869007141538109
00043,5458.552415662835,8.169238524633002
00044,4410.551684715678,8.231169069746779
00045,3996.0740089636315,8.174247846111676
00046,4751.430565336807,7.420951161470148
00047,4304.292878171301,8.039565923015823
00048,4293.97687369272,7.6203943024562655
00049,4832.228660499633,7.973803219816654
00050,4912.796782092777,8.22360639786653
00051,4572.592613859853,8.066456466387944
00052,4205.206012696473,7.971502702212708
00053,3604.6370639968036,6.964247017046019
00054,3880.7757644012127,8.38960632392693
00055,4152.234684400895,7.72276368889886
00056,4061.2962410877853,7.511243409394055
00057,3831.378827793758,7.83389560141235
00058,4174.093198251984,7.8249794023743044
00059,4042.566809708104,7.5944434330513255
00060,3791.599700692733,8.05540374393386
00061,4231.153363949455,8.14167035352034
00062,3381.7446412477275,8.069207964687228
00063,4643.680027661649,7.933945776714955
00064,3643.598311699603,8.381701786644456
00065,4076.577482977774,7.662032246444839
00066,4447.2773649422215,7.780984699388274
00067,3613.2609927235353,7.976015588448117
